AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC
1981;4.559190007;74.23855844;142.3302917;43.95720363;1.16032891;0.891231839;0.526372226;0.286698063;0.307399741;0.465235919;0.369606234;2.848219009
1982;6.431092279;10.74472758;3.791220559;40.40552683;1.999166181;0.235461059;0.314521026;0.22815811;0.569622106;2.45675191;19.9227771;162.2194238
1983;573.2870967;491.2316033;467.9930775;631.6061737;626.1372887;222.3397225;53.69515167;0.497050928;5.8469588;4.062355635;1.771781661;19.05563704
1984;8.51403354;273.0877526;119.5830746;13.82329106;2.091676881;2.574443162;0.451291738;0.346054586;0.699345328;1.702491092;0.724586704;5.77463187
1985;10.94956757;29.55277751;81.35783515;8.178639421;11.09176707;0.855589058;0.606037898;0.525060049;0.277455591;1.371810591;0.411988818;1.9676163
1986;65.78741535;63.44266077;9.765667109;72.4939415;2.568517555;0.203521016;0.437800462;0.290297413;0.243897584;0.896916066;2.719992784;12.36474028
1987;169.3655287;295.2342603;371.7318997;116.0977185;6.23229997;0.591696792;1.810257836;2.331939699;0.483358995;0.945975066;0.441247368;1.531731946
1988;33.04588595;39.85313986;12.91388743;17.90797967;2.477476736;0.328785348;0.509121754;0.316761375;0.413518992;0.440181739;2.559287519;5.396209047
1989;109.8352389;257.0300063;179.0803955;50.50972757;6.350432429;4.617106212;0.34889814;0.354516836;0.323574524;1.841763572;0.298184108;0.369560219
1990;11.26056096;36.01053528;30.89090737;12.85763247;2.82472705;1.06652627;0.41840174;0.219817897;0.283782882;1.56923688;2.75399724;3.452902867
1991;4.64720643;76.12432276;141.5428374;11.47322765;17.10307183;0.618830585;0.159053001;0.210105642;0.304049198;0.688781129;0.754172274;7.019155884
1992;49.64378264;182.817945;537.9456875;392.8266051;125.3656483;1.340221031;0.604644865;0.215534819;0.595572145;0.773326193;4.674462478;8.556266432
1993;12.20511969;266.1966145;220.740216;146.3003765;36.12147077;2.08080349;1.841995428;0.69861513;0.551810066;7.291904991;0.745140856;6.247313812
1994;102.1361642;157.3071128;87.9037175;68.44629469;19.69958001;1.012089582;0.840252654;0.374907182;0.89580549;0.738060092;0.568678718;35.03859643
1995;57.81881575;115.1365432;50.56987939;8.984784782;12.48112168;0.280767321;2.009002883;0.414628136;0.330195641;1.135457275;6.318711978;14.32058496
1996;26.68310401;59.39316833;55.43622824;10.9704861;0.68418075;0.545289768;0.536043285;0.337849045;0.283960668;1.292264716;0.722739422;5.266019356
1997;16.98390545;55.13358029;149.0765974;95.36294562;39.33824742;20.78733413;4.704178877;0.651446893;30.05130278;19.72505691;106.0003839;477.4426604
1998;499.9823286;743.0471968;577.8283286;479.1829212;107.645523;9.049691095;3.039433059;0.68618652;1.535417852;4.645222;0.926809159;9.376208665
1999;20.89865723;215.8206693;167.3807786;175.0593821;38.80473559;2.132323423;0.867831162;0.354855767;1.373767582;1.618705778;0.8950438;11.98795517
2000;11.12684381;117.508903;181.3349484;123.9315961;59.77788907;4.970210009;0.374309827;0.488556494;0.456868415;0.225051787;0.347051914;12.65342224
2001;109.8731412;112.4886061;384.846298;92.90728299;6.701198021;0.589104326;0.553787247;0.32014164;0.482199481;0.420650089;4.537842058;7.684227306
2002;10.01855621;236.1420138;409.571344;243.5336679;3.003485719;0.475886705;0.259598256;0.62387288;0.701371219;6.761886079;1.585586753;26.62920111
2003;59.07221176;97.49638828;49.67815203;20.94411238;2.233211571;2.859026812;1.32677029;0.472760133;0.419092279;0.264152716;1.749384182;21.2777099
2004;26.64119778;99.97758107;68.39279382;39.64371369;6.378114474;0.923929784;1.252761014;0.230113277;1.767673757;3.220437556;0.736674636;1.763182387
2005;5.4894019;26.88104977;130.2612315;22.38322758;1.146001613;2.675108462;0.201584712;0.384836625;0.223931172;1.101387116;1.924060708;8.074933215
2006;54.9002396;324.6422867;162.7917072;23.50887793;3.484463037;1.13048729;0.893757046;0.6389211;0.835359378;0.504052243;5.838717418;10.30203635
2007;92.41008826;19.48271861;182.6791723;42.59178117;2.593822759;0.652196392;0.404540134;0.717586472;0.374775993;0.81713454;1.666289278;3.644298029
2008;155.0148385;375.8837084;276.2794935;68.92710277;12.32306769;2.780945092;3.724262447;0.531690321;0.479189185;2.546004026;2.096397279;1.458445818
2009;240.9207263;207.5746059;159.7570275;38.62822137;13.41580406;1.226716732;0.270619558;0.745531323;1.149304382;0.464811318;3.254916012;13.00019719
2010;91.80824738;202.202778;255.6287024;127.3143891;11.05014545;3.262978977;1.10955687;0.28228242;0.469483487;1.07761374;1.354942779;7.746579017
2011;30.82986907;72.69873054;18.37238663;147.9244441;7.407373068;6.845366115;5.262766286;0.42612763;0.477927184;1.536666132;1.939748457;7.938850992
2012;122.3272077;378.5376561;290.9510461;157.0638709;29.46444185;4.737199044;1.067601902;0.267272067;0.231205347;0.912971528;2.713671873;3.195144341
2013;37.52642807;52.8369416;199.0833859;25.14150616;16.82834383;0.553557488;0.611340676;0.415700706;0.357246499;4.839814975;0.388428425;3.455516121
2014;54.98014214;48.38610048;59.19017942;14.36444515;61.10100092;19.31644366;3.74979595;0.513257866;0.479832384;4.328558452;1.35928669;10.45542739
2015;25.85622851;82.49302588;366.3861555;154.4524779;64.58060737;19.15315807;3.093673759;0.380700227;0.486534305;4.409657723;5.567671056;12.7182389
